Spawning.Year,Sex,Poh.Length.Mm,Scale.Total.Age.Yrs,Scale.Gilbert.Age,(R) RESOLVED STOCK ID,(R) RESOLVED STOCK-ORIGIN
2000,,256,2,22,,
2000,,336,2,21,,
2000,,349,2,21,,
2000,,350,2,21,,
2000,,353,2,21,,
2000,,355,2,21,,
2000,,359,2,21,,
2000,,361,2,21,,
2000,,364,2,21,,
2000,,365,2,21,,
2000,,367,2,21,,
2000,,368,2,21,,
2000,,368,2,21,,
2000,,371,2,21,,
2000,,375,2,21,,
2000,,376,2,21,,
2000,,377,2,21,,
2000,,378,2,21,,
2000,,379,2,21,,
2000,,381,2,21,,
2000,,381,2,21,,
2000,,382,2,21,,
2000,,382,2,21,,
2000,,382,2,21,,
2000,,382,2,21,,
2000,,383,2,21,,
2000,,384,2,21,,
2000,,384,2,21,,
2000,,385,2,21,,
2000,,386,2,21,,
2000,,386,2,21,,
2000,,387,2,21,,
2000,,387,2,21,,
2000,,387,2,21,,
2000,,389,2,21,,
2000,,389,2,21,,
2000,,390,2,21,,
2000,,390,2,21,,
2000,,391,2,21,,
2000,,392,2,21,,
2000,,392,2,21,,
2000,,392,2,21,,
2000,,394,2,21,,
2000,,394,2,21,,
2000,,394,2,21,,
2000,,394,2,21,,
2000,,395,2,21,,
2000,,396,2,21,,
2000,,396,2,21,,
2000,,397,2,21,,
2000,,397,2,21,,
2000,,398,2,21,,
2000,,398,2,21,,
2000,,399,2,21,,
2000,,400,2,21,,
2000,,400,2,21,,
2000,,401,2,21,,
2000,,401,2,21,,
2000,,402,2,21,,
2000,,402,2,21,,
2000,,402,2,21,,
2000,,402,2,21,,
2000,,403,2,21,,
2000,,403,2,21,,
2000,,404,2,21,,
2000,,404,2,21,,
2000,,404,2,21,,
2000,,404,2,21,,
2000,,405,2,21,,
2000,,406,2,21,,
2000,,407,2,21,,
2000,,407,2,21,,
2000,,407,2,21,,
2000,,408,2,21,,
2000,,408,2,21,,
2000,,408,2,21,,
2000,,408,2,21,,
2000,,408,2,21,,
2000,,408,2,21,,
2000,,408,2,21,,
2000,,409,2,21,,
2000,,409,2,21,,
2000,,409,2,21,,
2000,,409,2,21,,
2000,,410,2,21,,
2000,,410,2,21,,
2000,,410,2,21,,
2000,,410,2,21,,
2000,,411,2,21,,
2000,,411,2,21,,
2000,,412,2,21,,
2000,,412,2,21,,
2000,,413,2,21,,
2000,,413,2,21,,
2000,,413,2,21,,
2000,,413,2,21,,
2000,,413,2,21,,
2000,,414,2,21,,
2000,,414,2,21,,
2000,,414,2,21,,
2000,,414,2,21,,
2000,,414,2,21,,
2000,,414,2,21,,
2000,,415,2,21,,
2000,,415,2,21,,
2000,,417,2,21,,
2000,,417,2,21,,
2000,,417,2,21,,
2000,,417,2,21,,
2000,,418,2,21,,
2000,,418,2,21,,
2000,,418,2,21,,
2000,,418,2,21,,
2000,,419,2,21,,
2000,,419,2,21,,
2000,,421,2,21,,
2000,,422,2,21,,
2000,,422,2,21,,
2000,,422,2,21,,
2000,,423,2,21,,
2000,,424,2,21,,
2000,,424,2,21,,
2000,,424,2,21,,
2000,,425,2,21,,
2000,,425,2,21,,
2000,,425,2,21,,
2000,,426,2,21,,
2000,,426,2,21,,
2000,,426,2,21,,
2000,,426,2,21,,
2000,,427,2,21,,
2000,,427,2,21,,
2000,,427,2,21,,
2000,,427,2,21,,
2000,,428,2,21,,
2000,,429,2,21,,
2000,,429,2,21,,
2000,,430,2,21,,
2000,,430,2,21,,
2000,,430,2,21,,
2000,,431,2,21,,
2000,,432,2,21,,
2000,,432,2,21,,
2000,,432,2,21,,
2000,,433,2,21,,
2000,,433,2,21,,
2000,,433,2,21,,
2000,,434,2,21,,
2000,,434,2,21,,
2000,,434,2,21,,
2000,,435,2,21,,
2000,,436,2,21,,
2000,,437,2,21,,
2000,,437,2,21,,
2000,,438,2,21,,
2000,,440,2,21,,
2000,,440,2,21,,
2000,,441,2,21,,
2000,,441,2,21,,
2000,,441,2,21,,
2000,,441,2,21,,
2000,,441,2,21,,
2000,,442,2,21,,
2000,,442,2,21,,
2000,,442,2,21,,
2000,,444,2,21,,
2000,,444,2,21,,
2000,,446,2,21,,
2000,,446,2,21,,
2000,,447,2,21,,
2000,,447,2,21,,
2000,,447,2,21,,
2000,,449,2,21,,
2000,,449,2,21,,
2000,Male,450,3,31,,
2000,,450,2,21,,
2000,,452,2,21,,
2000,,452,2,21,,
